width,height,mean,std,digit
1,0.636363636,0.384858044,0.666099056,0
0.888888889,1,0.520504732,0.788612445,0
1,1,0.495268139,0.768406151,0
1,1,0.602523659,0.847054945,0
0.777777778,1,0.492113565,0.7658025,0
0.833333333,1,0.56466877,0.82140866,0
0.888888889,1,0.425867508,0.706901107,0
0.888888889,1,0.347003155,0.625172598,0
0.611111111,1,0.504731861,0.776112384,0
0.833333333,1,0.488958991,0.763181241,0
1,1,0.555205047,0.814647432,0
1,0.727272727,0.384858044,0.666099056,0
0.944444444,1,0.451104101,0.730316591,0
0.666666667,1,0.460567823,0.738781344,0
1,1,0.567823344,0.823630828,0
1,0.818181818,0.498422713,0.770992287,0
0.555555556,1,0.324921136,0.599731343,0
1,1,0.684542587,0.895350644,0
0.888888889,1,0.476340694,0.752518189,0
1,1,0.479495268,0.75521085,0
1,1,0.492113565,0.7658025,0
0.777777778,1,0.555205047,0.814647432,0
0.666666667,1,0.32807571,0.603440013,0
1,0.818181818,0.447949527,0.727457241,0
0.888888889,1,0.552050473,0.812361879,0
1,0.818181818,0.630914826,0.864868902,0
0.555555556,1,0.347003155,0.625172598,0
1,0.909090909,0.586750789,0.836637095,0
0.888888889,1,0.397476341,0.679030252,0
0.777777778,1,0.498422713,0.770992287,0
0.833333333,1,0.444794953,0.724578817,0
1,1,0.668769716,0.886804787,0
0.777777778,1,0.315457413,0.588452654,0
1,0.818181818,0.637223975,0.86866709,0
0.888888889,1,0.410094637,0.691622787,0
1,1,0.495268139,0.768406151,0
1,1,0.735015773,0.920430356,0
0.666666667,1,0.324921136,0.599731343,0
0.666666667,1,0.305993691,0.576940186,0
1,1,0.630914826,0.864868902,0
0.777777778,1,0.511041009,0.781163516,0
1,0.909090909,0.495268139,0.768406151,0
1,1,0.659305994,0.881511233,0
0.888888889,1,0.438485804,0.718764284,0
0.833333333,1,0.608832808,0.851116887,0
0.611111111,1,0.34384858,0.621611312,0
1,1,0.766561514,0.934402715,0
0.777777778,1,0.400630915,0.682209767,0
1,1,0.782334385,0.940911148,0
0.555555556,1,0.369085174,0.649443895,0
0.777777778,1,0.488958991,0.763181241,0
0.888888889,1,0.634069401,0.866775199,0
1,0.909090909,0.504731861,0.776112384,0
1,1,0.593059937,0.840849623,0
1,0.818181818,0.482649842,0.757885513,0
0.777777778,1,0.359621451,0.639181001,0
1,1,0.492113565,0.7658025,0
1,0.818181818,0.498422713,0.770992287,0
0.666666667,1,0.454258675,0.733156984,0
0.777777778,1,0.523659306,0.791061691,0
0.888888889,1,0.422712934,0.703885816,0
0.777777778,1,0.454258675,0.733156984,0
0.888888889,1,0.391167192,0.672607581,0
0.777777778,1,0.495268139,0.768406151,0
0.777777778,1,0.444794953,0.724578817,0
0.777777778,1,0.466876972,0.744331207,0
1,0.636363636,0.523659306,0.791061691,0
0.888888889,1,0.413249211,0.69471909,0
1,1,0.495268139,0.768406151,0
1,1,0.747634069,0.926173599,0
1,1,0.498422713,0.770992287,0
1,1,0.615141956,0.85511943,0
0.888888889,1,0.470031546,0.747078471,0
0.666666667,1,0.362776025,0.642624847,0
1,1,0.429022082,0.709896473,0
1,0.909090909,0.498422713,0.770992287,0
1,1,0.738170347,0.921885606,0
0.777777778,1,0.375394322,0.656172568,0
0.888888889,1,0.451104101,0.730316591,0
1,1,0.608832808,0.851116887,0
0.888888889,1,0.517350158,0.786146389,0
0.722222222,1,0.425867508,0.706901107,0
1,1,0.583596215,0.83450795,0
1,0.909090909,0.56466877,0.82140866,0
0.555555556,1,0.312302839,0.58464145,0
1,1,0.495268139,0.768406151,0
1,0.818181818,0.479495268,0.75521085,0
0.666666667,1,0.400630915,0.682209767,0
0.777777778,1,0.359621451,0.639181001,0
1,1,0.558359621,0.816917033,0
0.777777778,1,0.391167192,0.672607581,0
0.944444444,1,0.454258675,0.733156984,0
1,1,0.570977918,0.825837325,0
0.555555556,1,0.246056782,0.498150303,0
0.833333333,1,0.463722397,0.741565533,0
0.888888889,1,0.555205047,0.814647432,0
1,0.727272727,0.507886435,0.778646526,0
1,0.909090909,0.447949527,0.727457241,0
1,0.818181818,0.492113565,0.7658025,0
0.888888889,1,0.482649842,0.757885513,0
0.888888889,1,0.476340694,0.752518189,0
1,1,0.539432177,0.803058668,0
0.888888889,1,0.485804416,0.760542277,0
0.777777778,1,0.425867508,0.706901107,0
1,0.818181818,0.608832808,0.851116887,0
0.722222222,1,0.479495268,0.75521085,0
1,1,0.665615142,0.885054197,0
1,1,0.514195584,0.783663442,0
0.777777778,1,0.422712934,0.703885816,0
1,1,0.577287066,0.830203577,0
0.777777778,1,0.400630915,0.682209767,0
1,0.636363636,0.542586751,0.80540877,0
1,1,0.539432177,0.803058668,0
0.944444444,1,0.488958991,0.763181241,0
1,1,0.634069401,0.866775199,0
1,0.818181818,0.416403785,0.69779494,0
0.888888889,1,0.511041009,0.781163516,0
1,1,0.716088328,0.911424222,0
1,1,0.533123028,0.798309406,0
1,0.727272727,0.56466877,0.82140866,0
1,1,0.463722397,0.741565533,0
0.666666667,1,0.34384858,0.621611312,0
0.888888889,1,0.476340694,0.752518189,0
1,0.909090909,0.637223975,0.86866709,0
1,1,0.498422713,0.770992287,0
1,1,0.567823344,0.823630828,0
0.888888889,1,0.517350158,0.786146389,0
0.944444444,1,0.403785489,0.685368266,0
1,1,0.52681388,0.793494213,0
1,0.909090909,0.476340694,0.752518189,0
1,1,0.413249211,0.69471909,0
0.777777778,1,0.466876972,0.744331207,0
0.777777778,1,0.488958991,0.763181241,0
0.888888889,1,0.624605678,0.861012873,0
1,0.636363636,0.485804416,0.760542277,0
1,1,0.488958991,0.763181241,0
0.555555556,1,0.34384858,0.621611312,0
0.444444444,1,0.283911672,0.54913188,0
1,0.818181818,0.634069401,0.866775199,0
1,0.818181818,0.602523659,0.847054945,0
0.666666667,1,0.365930599,0.646045754,0
1,1,0.643533123,0.872407857,0
1,0.727272727,0.479495268,0.75521085,0
0.888888889,1,0.444794953,0.724578817,0
1,1,0.47318612,0.74980743,0
0.666666667,1,0.369085174,0.649443895,0
1,1,0.627760252,0.862948144,0
0.944444444,1,0.470031546,0.747078471,0
1,1,0.577287066,0.830203577,0
1,1,0.479495268,0.75521085,0
0.777777778,1,0.545741325,0.807742622,0
1,1,0.605678233,0.84909337,0
0.777777778,1,0.529968454,0.795910091,0
0.555555556,1,0.362776025,0.642624847,0
1,1,0.574132492,0.828028219,0
0.888888889,1,0.545741325,0.807742622,0
1,1,0.507886435,0.778646526,0
0.722222222,1,0.312302839,0.58464145,0
0.888888889,1,0.542586751,0.80540877,0
0.777777778,1,0.296529968,0.565187525,0
0.777777778,1,0.460567823,0.738781344,0
1,0.727272727,0.470031546,0.747078471,0
0.666666667,1,0.425867508,0.706901107,0
1,0.909090909,0.56466877,0.82140866,0
1,1,0.539432177,0.803058668,0
1,1,0.470031546,0.747078471,0
0.888888889,1,0.605678233,0.84909337,0
1,0.727272727,0.58044164,0.832363465,0
0.666666667,1,0.533123028,0.798309406,0
0.888888889,1,0.514195584,0.783663442,0
1,1,0.43533123,0.715827937,0
1,0.909090909,0.678233438,0.89197354,0
1,1,0.570977918,0.825837325,0
0.944444444,1,0.536277603,0.800692239,0
1,1,0.615141956,0.85511943,0
1,1,0.794952681,0.945892086,0
1,1,0.586750789,0.836637095,0
1,0.818181818,0.372239748,0.652819443,0
1,0.636363636,0.397476341,0.679030252,0
0.777777778,1,0.413249211,0.69471909,0
1,1,0.561514196,0.819170752,0
0.666666667,1,0.463722397,0.741565533,0
0.777777778,1,0.375394322,0.656172568,0
0.722222222,1,0.498422713,0.770992287,0
1,1,0.687697161,0.897018709,0
0.666666667,1,0.397476341,0.679030252,0
0.555555556,1,0.255520505,0.511309427,0
1,1,0.529968454,0.795910091,0
1,1,0.529968454,0.795910091,0
1,1,0.599369085,0.845001552,0
0.777777778,1,0.593059937,0.840849623,0
0.777777778,1,0.41955836,0.700850471,0
0.666666667,1,0.523659306,0.791061691,0
1,0.545454545,0.470031546,0.747078471,0
1,1,0.646687697,0.874256837,0
0.666666667,1,0.422712934,0.703885816,0
0.555555556,1,0.283911672,0.54913188,0
0.944444444,1,0.476340694,0.752518189,0
1,1,0.624605678,0.861012873,0
1,0.909090909,0.536277603,0.800692239,0
0.888888889,1,0.542586751,0.80540877,0
0.777777778,1,0.533123028,0.798309406,0
0.666666667,1,0.277602524,0.54093405,0
1,1,0.520504732,0.788612445,0
1,0.636363636,0.369085174,0.649443895,0
0.833333333,1,0.485804416,0.760542277,0
1,1,0.552050473,0.812361879,0
0.777777778,1,0.362776025,0.642624847,0
0.888888889,1,0.561514196,0.819170752,0
0.555555556,1,0.362776025,0.642624847,0
1,1,0.668769716,0.886804787,0
1,1,0.675078864,0.890264413,0
1,1,0.735015773,0.920430356,0
0.888888889,1,0.293375394,0.561215433,0
0.888888889,1,0.504731861,0.776112384,0
1,0.636363636,0.492113565,0.7658025,0
1,1,0.520504732,0.788612445,0
0.888888889,1,0.305993691,0.576940186,0
1,1,0.678233438,0.89197354,0
0.944444444,1,0.511041009,0.781163516,0
1,0.272727273,0.34384858,0.621611312,0
0.833333333,1,0.637223975,0.86866709,0
1,1,0.441640379,0.721681204,0
1,0.818181818,0.457413249,0.735978531,0
1,1,0.788643533,0.943426571,0
1,1,0.829652997,0.958570071,0
1,1,0.634069401,0.866775199,0
1,1,0.567823344,0.823630828,0
0.777777778,1,0.447949527,0.727457241,0
1,0.636363636,0.406940063,0.688505892,0
1,1,0.429022082,0.709896473,0
0.888888889,1,0.429022082,0.709896473,0
1,1,0.485804416,0.760542277,0
1,0.909090909,0.684542587,0.895350644,0
1,1,0.583596215,0.83450795,0
0.777777778,1,0.413249211,0.69471909,0
0.888888889,1,0.552050473,0.812361879,0
0.888888889,1,0.425867508,0.706901107,0
1,1,0.558359621,0.816917033,0
0.722222222,1,0.429022082,0.709896473,0
0.833333333,1,0.507886435,0.778646526,0
1,0.454545455,0.312302839,0.58464145,0
1,0.727272727,0.574132492,0.828028219,0
1,0.818181818,0.312302839,0.58464145,0
