width,height,mean,std,label
15,19,0.24872449,0.432549725,0
19,19,0.244897959,0.430301198,0
14,19,0.244897959,0.430301198,0
11,19,0.169642857,0.375558333,0
16,19,0.235969388,0.424874203,0
19,15,0.257653061,0.437621111,0
15,19,0.211734694,0.408798571,0
19,17,0.354591837,0.478694838,0
15,19,0.229591837,0.420838835,0
19,17,0.210459184,0.407895002,0
19,17,0.343112245,0.475051662,0
19,19,0.323979592,0.468291075,0
19,19,0.290816327,0.454428862,0
17,19,0.228316327,0.420015474,0
15,19,0.200255102,0.400446668,0
19,19,0.230867347,0.421656725,0
17,19,0.284438776,0.451434712,0
11,19,0.191326531,0.393596607,0
17,19,0.216836735,0.412353546,0
19,19,0.285714286,0.452042336,0
17,19,0.274234694,0.446412607,0
17,19,0.288265306,0.453244358,0
17,19,0.195153061,0.396571484,0
19,19,0.243622449,0.429541489,0
19,19,0.215561224,0.41147362,0
15,19,0.1875,0.390561537,0
19,19,0.246173469,0.43105579,0
19,19,0.260204082,0.439025927,0
15,19,0.227040816,0.419186609,0
15,19,0.230867347,0.421656725,0
13,19,0.210459184,0.407895002,0
19,19,0.270408163,0.444454218,0
16,19,0.24872449,0.432549725,0
17,19,0.202806122,0.402345973,0
19,19,0.242346939,0.428776634,0
19,13,0.204081633,0.403286212,0
12,19,0.220663265,0.414958576,0
13,19,0.209183673,0.406985425,0
14,19,0.204081633,0.403286212,0
19,19,0.227040816,0.419186609,0
15,19,0.200255102,0.400446668,0
19,17,0.214285714,0.410587841,0
19,19,0.267857143,0.443125437,0
13,19,0.241071429,0.428006606,0
19,19,0.281887755,0.450206148,0
19,15,0.198979592,0.399487513,0
15,19,0.220663265,0.414958576,0
18,19,0.329081633,0.470179633,0
16,19,0.242346939,0.428776634,0
19,18,0.294642857,0.45617307,0
15,19,0.214285714,0.410587841,0
14,19,0.276785714,0.447695247,0
17,19,0.272959184,0.445764421,0
17,19,0.214285714,0.410587841,0
17,19,0.177295918,0.382162743,0
19,19,0.24872449,0.432549725,0
19,17,0.301020408,0.45899438,0
19,19,0.343112245,0.475051662,0
11,19,0.177295918,0.382162743,0
19,17,0.238520408,0.426450921,0
19,19,0.339285714,0.473769159,0
17,19,0.232142857,0.422469176,0
19,17,0.214285714,0.410587841,0
17,19,0.280612245,0.449585173,0
13,19,0.204081633,0.403286212,0
19,19,0.238520408,0.426450921,0
15,19,0.220663265,0.414958576,0
15,19,0.228316327,0.420015474,0
15,19,0.202806122,0.402345973,0
17,19,0.206632653,0.405148082,0
18,19,0.284438776,0.451434712,0
16,19,0.266581633,0.442454028,0
19,17,0.293367347,0.455595985,0
19,19,0.246173469,0.43105579,0
19,19,0.340561224,0.474200481,0
19,19,0.276785714,0.447695247,0
17,19,0.25255102,0.434752903,0
16,19,0.260204082,0.439025927,0
15,19,0.204081633,0.403286212,0
17,19,0.320153061,0.466833005,0
17,19,0.229591837,0.420838835,0
18,19,0.230867347,0.421656725,0
19,19,0.205357143,0.404220234,0
19,19,0.239795918,0.427231378,0
19,14,0.25,0.433289122,0
19,15,0.204081633,0.403286212,0
19,17,0.25,0.433289122,0
19,19,0.369897959,0.483085009,0
11,19,0.160714286,0.367501662,0
17,19,0.274234694,0.446412607,0
19,14,0.237244898,0.425665205,0
17,19,0.239795918,0.427231378,0
11,19,0.142857143,0.350150488,0
19,18,0.229591837,0.420838835,0
19,19,0.221938776,0.415815457,0
15,19,0.223214286,0.416666667,0
14,19,0.294642857,0.45617307,0
18,19,0.317602041,0.465840939,0
17,19,0.25,0.433289122,0
18,19,0.233418367,0.423276218,0
19,19,0.353316327,0.478305034,0
19,17,0.25255102,0.434752903,0
15,19,0.223214286,0.416666667,0
14,19,0.192602041,0.394594853,0
15,19,0.213010204,0.409696171,0
16,19,0.265306122,0.441777911,0
18,19,0.235969388,0.424874203,0
14,19,0.165816327,0.372153097,0
19,15,0.253826531,0.435477337,0
19,19,0.264030612,0.441097064,0
19,13,0.19005102,0.392591674,0
19,19,0.31505102,0.464832737,0
14,19,0.229591837,0.420838835,0
16,19,0.214285714,0.410587841,0
19,15,0.229591837,0.420838835,0
11,19,0.156887755,0.36392708,0
13,19,0.159438776,0.366318457,0
18,19,0.243622449,0.429541489,0
15,19,0.207908163,0.406069798,0
18,19,0.228316327,0.420015474,0
19,17,0.260204082,0.439025927,0
19,19,0.271683673,0.445111632,0
15,19,0.213010204,0.409696171,0
19,19,0.284438776,0.451434712,0
19,19,0.25255102,0.434752903,0
17,19,0.275510204,0.447056209,0
19,19,0.256377551,0.436911417,0
19,18,0.200255102,0.400446668,0
16,19,0.197704082,0.398521962,0
15,19,0.244897959,0.430301198,0
19,15,0.223214286,0.416666667,0
15,19,0.201530612,0.401399473,0
17,19,0.206632653,0.405148082,0
15,19,0.201530612,0.401399473,0
19,19,0.330357143,0.470641935,0
19,19,0.261479592,0.439721094,0
15,19,0.235969388,0.424874203,0
19,19,0.329081633,0.470179633,0
19,19,0.262755102,0.440411466,0
15,19,0.214285714,0.410587841,0
19,18,0.316326531,0.465338861,0
19,17,0.284438776,0.451434712,0
18,19,0.238520408,0.426450921,0
19,19,0.286989796,0.452645545,0
17,19,0.271683673,0.445111632,0
19,15,0.155612245,0.362718743,0
17,19,0.272959184,0.445764421,0
19,19,0.294642857,0.45617307,0
12,19,0.181122449,0.385365449,0
19,19,0.274234694,0.446412607,0
19,11,0.179846939,0.384305085,0
18,19,0.205357143,0.404220234,0
16,19,0.225765306,0.418352209,0
13,19,0.204081633,0.403286212,0
17,19,0.293367347,0.455595985,0
19,19,0.239795918,0.427231378,0
15,19,0.1875,0.390561537,0
19,16,0.31377551,0.464322553,0
11,19,0.135204082,0.342159708,0
13,19,0.197704082,0.398521962,0
11,19,0.174744898,0.379991176,0
13,19,0.204081633,0.403286212,0
17,19,0.278061224,0.448329741,0
19,19,0.275510204,0.447056209,0
19,18,0.306122449,0.461175427,0
15,19,0.239795918,0.427231378,0
17,19,0.232142857,0.422469176,0
14,19,0.239795918,0.427231378,0
19,15,0.219387755,0.414095987,0
17,19,0.258928571,0.43832594,0
15,19,0.205357143,0.404220234,0
19,16,0.253826531,0.435477337,0
19,19,0.284438776,0.451434712,0
17,19,0.292091837,0.455014588,0
19,19,0.289540816,0.453838791,0
17,19,0.238520408,0.426450921,0
13,19,0.167091837,0.373295991,0
19,19,0.25255102,0.434752903,0
19,19,0.308673469,0.462240947,0
19,19,0.235969388,0.424874203,0
15,19,0.228316327,0.420015474,0
19,19,0.280612245,0.449585173,0
17,19,0.272959184,0.445764421,0
12,19,0.18622449,0.389536228,0
15,19,0.200255102,0.400446668,0
19,17,0.242346939,0.428776634,0
19,13,0.178571429,0.383237536,0
19,19,0.25255102,0.434752903,0
15,19,0.193877551,0.395586462,0
15,19,0.232142857,0.422469176,0
18,19,0.260204082,0.439025927,0
17,19,0.214285714,0.410587841,0
15,19,0.269132653,0.443792161,0
17,19,0.266581633,0.442454028,0
19,19,0.262755102,0.440411466,0
19,17,0.265306122,0.441777911,0
19,19,0.269132653,0.443792161,0
15,19,0.24872449,0.432549725,0
17,19,0.3125,0.463808296,0
15,19,0.227040816,0.419186609,0
19,19,0.211734694,0.408798571,0
10,19,0.174744898,0.379991176,0
13,19,0.154336735,0.361501861,0
11,19,0.211734694,0.408798571,0
14,19,0.216836735,0.412353546,0
19,19,0.234693878,0.424077884,0
15,19,0.224489796,0.417512239,0
19,19,0.261479592,0.439721094,0
19,19,0.257653061,0.437621111,0
19,17,0.214285714,0.410587841,0
18,19,0.275510204,0.447056209,0
16,19,0.230867347,0.421656725,0
17,19,0.261479592,0.439721094,0
15,19,0.18877551,0.391580001,0
19,19,0.255102041,0.436196834,0
19,18,0.265306122,0.441777911,0
16,19,0.265306122,0.441777911,0
19,18,0.281887755,0.450206148,0
17,19,0.230867347,0.421656725,0
19,14,0.267857143,0.443125437,0
18,19,0.301020408,0.45899438,0
19,19,0.262755102,0.440411466,0
17,19,0.230867347,0.421656725,0
18,19,0.292091837,0.455014588,0
13,19,0.165816327,0.372153097,0
19,17,0.237244898,0.425665205,0
19,19,0.232142857,0.422469176,0
18,19,0.269132653,0.443792161,0
19,17,0.207908163,0.406069798,0
19,14,0.210459184,0.407895002,0
19,17,0.211734694,0.408798571,0
16,19,0.253826531,0.435477337,0
17,19,0.234693878,0.424077884,0
17,19,0.255102041,0.436196834,0
18,19,0.235969388,0.424874203,0
15,19,0.230867347,0.421656725,0
14,19,0.202806122,0.402345973,0
17,19,0.196428571,0.397549968,0
19,19,0.225765306,0.418352209,0
15,19,0.220663265,0.414958576,0
17,19,0.197704082,0.398521962,0
19,19,0.264030612,0.441097064,0
19,19,0.270408163,0.444454218,0
19,19,0.286989796,0.452645545,0
18,19,0.232142857,0.422469176,0
19,17,0.260204082,0.439025927,0
19,17,0.213010204,0.409696171,0
19,19,0.321428571,0.46732302,0
16,19,0.209183673,0.406985425,0
19,19,0.3125,0.463808296,0
19,16,0.18877551,0.391580001,0
16,19,0.216836735,0.412353546,0
11,19,0.142857143,0.350150488,0
17,19,0.267857143,0.443125437,0
13,19,0.220663265,0.414958576,0
19,17,0.244897959,0.430301198,0
19,19,0.244897959,0.430301198,0
19,19,0.25,0.433289122,0
19,19,0.31122449,0.463289952,0
8,19,0.158163265,0.365126957,0
19,19,0.281887755,0.450206148,0
17,19,0.256377551,0.436911417,0
13,19,0.211734694,0.408798571,0
13,19,0.177295918,0.382162743,0
19,19,0.266581633,0.442454028,0
14,19,0.196428571,0.397549968,0
17,19,0.24872449,0.432549725,0
19,19,0.25255102,0.434752903,0
17,19,0.213010204,0.409696171,0
19,19,0.242346939,0.428776634,0
17,19,0.262755102,0.440411466,0
12,19,0.149234694,0.356547122,0
19,19,0.290816327,0.454428862,0
19,19,0.289540816,0.453838791,0
15,19,0.207908163,0.406069798,0
19,17,0.237244898,0.425665205,0
19,19,0.318877551,0.466338982,0
19,15,0.198979592,0.399487513,0
17,19,0.253826531,0.435477337,0
19,19,0.243622449,0.429541489,0
19,19,0.286989796,0.452645545,0
15,19,0.242346939,0.428776634,0
16,19,0.271683673,0.445111632,0
17,19,0.215561224,0.41147362,0
17,19,0.183673469,0.387464859,0
12,19,0.24744898,0.43180529,0
16,19,0.241071429,0.428006606,0
19,19,0.267857143,0.443125437,0
19,16,0.198979592,0.399487513,0
18,19,0.225765306,0.418352209,0
13,19,0.229591837,0.420838835,0
19,19,0.272959184,0.445764421,0
19,17,0.244897959,0.430301198,0
11,19,0.174744898,0.379991176,0
19,19,0.320153061,0.466833005,0
17,19,0.235969388,0.424874203,0
19,19,0.237244898,0.425665205,0
19,19,0.242346939,0.428776634,0
15,19,0.267857143,0.443125437,0
13,19,0.176020408,0.381080643,0
19,17,0.224489796,0.417512239,0
17,19,0.266581633,0.442454028,0
19,17,0.298469388,0.457878616,0
11,19,0.183673469,0.387464859,0
19,18,0.280612245,0.449585173,0
17,19,0.204081633,0.403286212,0
15,19,0.244897959,0.430301198,0
16,19,0.223214286,0.416666667,0
19,19,0.31377551,0.464322553,0
15,19,0.170918367,0.376677921,0
19,17,0.301020408,0.45899438,0
17,19,0.209183673,0.406985425,0
19,19,0.243622449,0.429541489,0
19,19,0.340561224,0.474200481,0
13,19,0.174744898,0.379991176,0
13,19,0.167091837,0.373295991,0
19,19,0.298469388,0.457878616,0
15,19,0.25,0.433289122,0
19,18,0.243622449,0.429541489,0
19,19,0.30994898,0.462767506,0
17,19,0.220663265,0.414958576,0
16,19,0.289540816,0.453838791,0
12,19,0.182397959,0.386418688,0
19,19,0.353316327,0.478305034,0
15,19,0.205357143,0.404220234,0
19,19,0.359693878,0.480216967,0
11,19,0.192602041,0.394594853,0
15,19,0.241071429,0.428006606,0
17,19,0.299744898,0.458438614,0
19,18,0.24744898,0.43180529,0
19,19,0.283163265,0.450822655,0
19,17,0.238520408,0.426450921,0
15,19,0.18877551,0.391580001,0
19,19,0.242346939,0.428776634,0
19,17,0.244897959,0.430301198,0
13,19,0.227040816,0.419186609,0
15,19,0.255102041,0.436196834,0
17,19,0.214285714,0.410587841,0
15,19,0.227040816,0.419186609,0
17,19,0.201530612,0.401399473,0
15,19,0.243622449,0.429541489,0
15,19,0.223214286,0.416666667,0
15,19,0.232142857,0.422469176,0
19,15,0.255102041,0.436196834,0
17,19,0.210459184,0.407895002,0
19,19,0.243622449,0.429541489,0
19,19,0.345663265,0.475887629,0
19,19,0.244897959,0.430301198,0
19,19,0.292091837,0.455014588,0
17,19,0.233418367,0.423276218,0
13,19,0.19005102,0.392591674,0
19,19,0.216836735,0.412353546,0
19,18,0.244897959,0.430301198,0
19,19,0.341836735,0.474627978,0
15,19,0.195153061,0.396571484,0
17,19,0.225765306,0.418352209,0
19,19,0.289540816,0.453838791,0
17,19,0.25255102,0.434752903,0
14,19,0.215561224,0.41147362,0
19,19,0.279336735,0.44895971,0
19,18,0.271683673,0.445111632,0
11,19,0.169642857,0.375558333,0
19,19,0.243622449,0.429541489,0
19,17,0.237244898,0.425665205,0
13,19,0.205357143,0.404220234,0
15,19,0.18877551,0.391580001,0
19,19,0.269132653,0.443792161,0
15,19,0.201530612,0.401399473,0
18,19,0.227040816,0.419186609,0
19,19,0.274234694,0.446412607,0
11,19,0.142857143,0.350150488,0
16,19,0.230867347,0.421656725,0
17,19,0.267857143,0.443125437,0
19,16,0.24872449,0.432549725,0
19,18,0.224489796,0.417512239,0
19,17,0.242346939,0.428776634,0
17,19,0.238520408,0.426450921,0
17,19,0.235969388,0.424874203,0
19,19,0.261479592,0.439721094,0
17,19,0.239795918,0.427231378,0
15,19,0.215561224,0.41147362,0
19,17,0.289540816,0.453838791,0
14,19,0.237244898,0.425665205,0
19,19,0.3125,0.463808296,0
19,19,0.25127551,0.434023507,0
15,19,0.214285714,0.410587841,0
19,19,0.276785714,0.447695247,0
15,19,0.205357143,0.404220234,0
19,15,0.262755102,0.440411466,0
19,19,0.261479592,0.439721094,0
18,19,0.241071429,0.428006606,0
19,19,0.299744898,0.458438614,0
19,17,0.211734694,0.408798571,0
17,19,0.25,0.433289122,0
19,19,0.332908163,0.471554817,0
19,19,0.258928571,0.43832594,0
19,16,0.271683673,0.445111632,0
19,19,0.230867347,0.421656725,0
13,19,0.182397959,0.386418688,0
17,19,0.235969388,0.424874203,0
19,18,0.301020408,0.45899438,0
19,19,0.244897959,0.430301198,0
19,19,0.272959184,0.445764421,0
17,19,0.25255102,0.434752903,0
18,19,0.206632653,0.405148082,0
19,19,0.256377551,0.436911417,0
19,18,0.235969388,0.424874203,0
19,19,0.210459184,0.407895002,0
15,19,0.232142857,0.422469176,0
15,19,0.241071429,0.428006606,0
17,19,0.295918367,0.456745859,0
19,15,0.239795918,0.427231378,0
19,19,0.241071429,0.428006606,0
11,19,0.182397959,0.386418688,0
9,19,0.158163265,0.365126957,0
19,17,0.299744898,0.458438614,0
19,17,0.286989796,0.452645545,0
13,19,0.191326531,0.393596607,0
19,19,0.303571429,0.460093277,0
19,16,0.237244898,0.425665205,0
17,19,0.223214286,0.416666667,0
19,19,0.234693878,0.424077884,0
13,19,0.192602041,0.394594853,0
19,19,0.297193878,0.457314369,0
18,19,0.233418367,0.423276218,0
19,19,0.276785714,0.447695247,0
19,19,0.237244898,0.425665205,0
15,19,0.264030612,0.441097064,0
19,19,0.288265306,0.453244358,0
15,19,0.257653061,0.437621111,0
11,19,0.19005102,0.392591674,0
19,19,0.275510204,0.447056209,0
17,19,0.264030612,0.441097064,0
19,19,0.24872449,0.432549725,0
14,19,0.169642857,0.375558333,0
17,19,0.262755102,0.440411466,0
15,19,0.163265306,0.369843502,0
15,19,0.229591837,0.420838835,0
19,16,0.233418367,0.423276218,0
13,19,0.215561224,0.41147362,0
19,18,0.271683673,0.445111632,0
19,19,0.261479592,0.439721094,0
19,19,0.233418367,0.423276218,0
17,19,0.288265306,0.453244358,0
19,16,0.278061224,0.448329741,0
13,19,0.258928571,0.43832594,0
17,19,0.25127551,0.434023507,0
19,19,0.219387755,0.414095987,0
19,18,0.317602041,0.465840939,0
19,19,0.274234694,0.446412607,0
18,19,0.260204082,0.439025927,0
19,19,0.292091837,0.455014588,0
19,19,0.364795918,0.481680179,0
19,19,0.280612245,0.449585173,0
19,17,0.193877551,0.395586462,0
19,15,0.204081633,0.403286212,0
15,19,0.210459184,0.407895002,0
19,19,0.270408163,0.444454218,0
13,19,0.230867347,0.421656725,0
15,19,0.195153061,0.396571484,0
14,19,0.244897959,0.430301198,0
19,19,0.321428571,0.46732302,0
13,19,0.204081633,0.403286212,0
11,19,0.146683673,0.354016143,0
19,19,0.257653061,0.437621111,0
19,19,0.257653061,0.437621111,0
19,19,0.285714286,0.452042336,0
15,19,0.283163265,0.450822655,0
15,19,0.213010204,0.409696171,0
13,19,0.255102041,0.436196834,0
19,14,0.233418367,0.423276218,0
19,19,0.304846939,0.460636438,0
13,19,0.214285714,0.410587841,0
11,19,0.158163265,0.365126957,0
18,19,0.235969388,0.424874203,0
19,19,0.295918367,0.456745859,0
19,18,0.260204082,0.439025927,0
17,19,0.262755102,0.440411466,0
15,19,0.258928571,0.43832594,0
13,19,0.155612245,0.362718743,0
19,19,0.253826531,0.435477337,0
19,15,0.192602041,0.394594853,0
16,19,0.239795918,0.427231378,0
19,19,0.266581633,0.442454028,0
15,19,0.19005102,0.392591674,0
17,19,0.270408163,0.444454218,0
11,19,0.19005102,0.392591674,0
19,19,0.31377551,0.464322553,0
19,19,0.316326531,0.465338861,0
19,19,0.340561224,0.474200481,0
17,19,0.161989796,0.36867665,0
17,19,0.24744898,0.43180529,0
19,15,0.242346939,0.428776634,0
19,19,0.253826531,0.435477337,0
17,19,0.167091837,0.373295991,0
19,19,0.317602041,0.465840939,0
18,19,0.25,0.433289122,0
19,11,0.182397959,0.386418688,0
16,19,0.301020408,0.45899438,0
19,19,0.221938776,0.415815457,0
19,17,0.228316327,0.420015474,0
19,19,0.362244898,0.480955903,0
19,19,0.378826531,0.485404494,0
19,19,0.299744898,0.458438614,0
19,19,0.272959184,0.445764421,0
15,19,0.224489796,0.417512239,0
19,15,0.207908163,0.406069798,0
19,19,0.216836735,0.412353546,0
17,19,0.216836735,0.412353546,0
19,19,0.239795918,0.427231378,0
19,18,0.320153061,0.466833005,0
19,19,0.279336735,0.44895971,0
15,19,0.210459184,0.407895002,0
17,19,0.266581633,0.442454028,0
17,19,0.215561224,0.41147362,0
19,19,0.269132653,0.443792161,0
14,19,0.216836735,0.412353546,0
16,19,0.24872449,0.432549725,0
19,13,0.169642857,0.375558333,0
19,16,0.275510204,0.447056209,0
19,17,0.169642857,0.375558333,0
19,19,0.264030612,0.441097064,0
15,19,0.197704082,0.398521962,0
19,19,0.243622449,0.429541489,0
19,19,0.285714286,0.452042336,0
17,19,0.200255102,0.400446668,0
18,19,0.243622449,0.429541489,0
19,17,0.256377551,0.436911417,0
19,17,0.25255102,0.434752903,0
13,19,0.235969388,0.424874203,0
15,19,0.202806122,0.402345973,0
19,19,0.246173469,0.43105579,0
11,19,0.149234694,0.356547122,0
17,19,0.213010204,0.409696171,0
17,19,0.255102041,0.436196834,0
15,19,0.19005102,0.392591674,0
19,18,0.280612245,0.449585173,0
13,19,0.195153061,0.396571484,0
16,19,0.225765306,0.418352209,0
13,19,0.196428571,0.397549968,0
19,17,0.230867347,0.421656725,0
15,19,0.150510204,0.357799069,0
19,19,0.288265306,0.453244358,0
19,19,0.301020408,0.45899438,0
17,19,0.281887755,0.450206148,0
15,19,0.25255102,0.434752903,0
19,19,0.292091837,0.455014588,0
18,19,0.269132653,0.443792161,0
15,19,0.241071429,0.428006606,0
19,19,0.241071429,0.428006606,0
17,19,0.19005102,0.392591674,0
15,19,0.278061224,0.448329741,0
19,19,0.271683673,0.445111632,0
19,19,0.289540816,0.453838791,0
19,19,0.25127551,0.434023507,0
16,19,0.225765306,0.418352209,0
19,15,0.321428571,0.46732302,0
13,19,0.168367347,0.374431046,0
19,16,0.292091837,0.455014588,0
19,18,0.299744898,0.458438614,0
19,15,0.182397959,0.386418688,0
15,19,0.235969388,0.424874203,0
13,19,0.172193878,0.37778988,0
17,19,0.255102041,0.436196834,0
19,17,0.24872449,0.432549725,0
17,19,0.183673469,0.387464859,0
17,19,0.230867347,0.421656725,0
19,16,0.237244898,0.425665205,0
17,19,0.24744898,0.43180529,0
15,19,0.213010204,0.409696171,0
17,19,0.200255102,0.400446668,0
17,19,0.221938776,0.415815457,0
19,17,0.262755102,0.440411466,0
16,19,0.24872449,0.432549725,0
19,19,0.323979592,0.468291075,0
19,15,0.278061224,0.448329741,0
15,19,0.232142857,0.422469176,0
14,19,0.168367347,0.374431046,0
13,19,0.177295918,0.382162743,0
19,19,0.280612245,0.449585173,0
17,19,0.24872449,0.432549725,0
19,19,0.325255102,0.46876914,0
17,19,0.243622449,0.429541489,0
19,19,0.265306122,0.441777911,0
19,19,0.24872449,0.432549725,0
17,19,0.233418367,0.423276218,0
17,19,0.25255102,0.434752903,0
11,19,0.214285714,0.410587841,0
19,19,0.242346939,0.428776634,0
16,19,0.264030612,0.441097064,0
11,19,0.169642857,0.375558333,0
19,19,0.317602041,0.465840939,0
13,19,0.183673469,0.387464859,0
15,19,0.253826531,0.435477337,0
19,17,0.233418367,0.423276218,0
19,19,0.204081633,0.403286212,0
19,19,0.294642857,0.45617307,0
19,19,0.242346939,0.428776634,0
17,19,0.257653061,0.437621111,0
19,19,0.341836735,0.474627978,0
17,19,0.225765306,0.418352209,0
15,19,0.210459184,0.407895002,0
19,19,0.232142857,0.422469176,0
17,19,0.24872449,0.432549725,0
15,19,0.242346939,0.428776634,0
17,19,0.304846939,0.460636438,0
19,18,0.294642857,0.45617307,0
18,19,0.257653061,0.437621111,0
15,19,0.243622449,0.429541489,0
17,19,0.219387755,0.414095987,0
19,17,0.234693878,0.424077884,0
15,19,0.25127551,0.434023507,0
19,19,0.303571429,0.460093277,0
17,19,0.200255102,0.400446668,0
17,19,0.227040816,0.419186609,0
15,19,0.181122449,0.385365449,0
19,17,0.241071429,0.428006606,0
19,19,0.321428571,0.46732302,0
14,19,0.201530612,0.401399473,0
19,17,0.220663265,0.414958576,0
17,19,0.224489796,0.417512239,0
16,19,0.288265306,0.453244358,0
19,17,0.258928571,0.43832594,0
19,17,0.301020408,0.45899438,0
10,19,0.183673469,0.387464859,0
17,19,0.278061224,0.448329741,0
19,19,0.321428571,0.46732302,0
